ActivityGroupId,ActivityGroupName,ActivityGroupDetail,ActivityGroupParentId,IsActive,SortOrder,GroupIcon,TenantId,DateCreated,DateUpdated,CreatedBy,UpdatedBy,IsDeleted
1,Accounts,NULL,NULL,1,1,fa fa-address-book,1,2018-04-28 14:13:57.147,2018-04-28 14:13:57.147,1,1,0
2,Product Catalogue,NULL,NULL,1,2,fa fa-barcode,1,2018-04-28 14:13:57.527,2018-04-28 14:13:57.527,1,1,0
3,Orders,NULL,NULL,1,3,fa fa-money,1,2018-04-28 14:13:57.527,2018-04-28 14:13:57.527,1,1,0
4,Warehouse,NULL,NULL,1,4,fa fa-truck,1,2018-04-28 14:13:57.530,2018-04-28 14:13:57.530,1,1,0
5,Reports,NULL,NULL,1,5,fa fa-flag,1,2018-04-28 14:13:57.530,2018-04-28 14:13:57.530,1,1,0
6,Administration,NULL,NULL,1,7,fa fa-cogs,1,2018-04-28 14:13:57.533,2018-04-28 14:13:57.533,1,1,0
7,Properties,NULL,NULL,1,6,fa fa-building,1,2018-04-28 14:13:57.533,2018-04-28 14:13:57.533,1,1,0
8,Time n Attendance,NULL,NULL,1,8,fa fa-clock-o,1,2018-04-28 14:13:57.537,2018-04-28 14:13:57.537,1,1,0
9,Terminals,NULL,NULL,1,9,fa fa-mobile,1,2018-04-28 14:13:57.547,2018-04-28 14:13:57.547,1,2,0
10,Finances,NULL,NULL,1,10,fa fa-credit-card,1,2018-04-28 14:13:57.550,2018-04-28 14:13:57.550,1,1,0
11,Van Sales,NULL,NULL,1,4,fa fa-truck,1,2018-04-28 14:13:57.550,2018-04-28 14:13:57.550,2,2,0
12,Human Resources,NULL,NULL,1,4,fa fa-male,1,2018-04-28 14:13:57.553,2018-04-28 14:13:57.553,2,2,0
13,Handheld,Group to hold Handheld permission activities,NULL,1,11,fa fa-tablet,1,2018-04-29 15:53:11.973,2018-04-29 15:53:11.973,2,2,0
