"1009","Hafiz Halal Meat","","01274 483 838","","9-11 Willow Street","Girlington","Bradford","BD8 9NJ",""
"101","Somerfield Stores Limited","Caroline Smith","0117 935 9359 a/c's","","Merchandise Accounts Dept","PO BOX 313, Somerfield House","Whitchurch Lane","Bristol","BS99 7LD"
"102","Raja SL","","0034 622 308 080","","DR Manuel Candela 20","46021 Valencia","","",""
"103","Arcadia Food Industries","","01274 656 900","01274 656 901","Famos House","Pawson Street","Laisterdyke","Bradford","BD4 8AJ"
"104","Asda Stores Ltd","","0113 243 5435 A/c,s Dept","0113 241 7566","Asda House, Financial Services Dept","PO Box 3.25","Great Wilson Street","LEEDS","LS11 5AD"
"105","Birmingham Waqar","","","","","","","",""
"106","Brimingham Waqas Monday (Book)","","","","","","","",""
"107","Bradford WEDNESDAY (Book)","","","","","","","",""
"108","CC Continental","","","","Leeds","","","",""
"109","Bradford THUSDAY 2 (Book)","","","","","","","",""
"110","Leeds Road TUESDAY 2 (Book)","","","","","","","",""
"111","Burnley & Nelson (Book)","","","","","","","",""
"112","Day 2 Day Cash & Carry","Akib","01274 720 727","01274 720 728","86 Preston Street","Bradford","West Yorkshire","BD7 1JF",""
"113","DO NOT USE SEE 106","","","","","","","",""
"114","Nadeem Enterprises Pty Ltd","","08 9249 5155","08 9249 5199","3 Montgomery Way","Malaga","WA 6090","",""
"115","Loughborough / Derby (Book)","","","","","","","",""
"116","Dewsbury (Book)","","","","","","","",""
"117","Amin Imperial Bakeries Ltd (DO NOT USE)","","","01902 450 428","T/A Indus International Foods","Unit 6, Culwell Trading Estate","Wolverhampton","West Midlands","WV10 0PG"
"118","East End Foods Plc","Qasim","0121 553 1999","0121 525 6565","East End House","Kendrick Way","West Bromwich","West Midlands","B71 4EA"
"119","Asian Food Store","","","","14 Stralite Business Center","Port Road","Letterkenny","Ireland",""
"120","Northampton (Book)","","","","","","","",""
"121","Worldwide Foods (Birmingham) Ltd","Miriam (Accounts Dept)","0121 753 4391","0121 771 1439","Al Halal Supermarket","360 Coventry Road","Small Heath","Birmingham","B10 0XE"
"122","Glasgow (Book)","","","","","","","",""
"123","JHHK Limited T/A PAK Supermarket","","0121 326 3080","0121 558 7863","40-42 Alum Rock Road","Saltley","Birmingham","West Midlands","B8 1JA"
"124","JHHK Limited T/A Pak Supermarket","Arif","0121 326 3080","0121 326 8385","325 Washwood Heath Road","Washwood Heath","Birmingham","West Midlands","B8 2XJ"
"124A","Pak Supermarket Washwood Heath Ltd (ASSET AC)","","","","","","","",""
"125","Hudderfield (Book)","","","","","","","",""
"126","Lubna Foods","Ahmed","01274 731 728","01274 514 919","Lubna House","164 Garnett Street","Bradford","West Yorkshire","BD3 9HA"
"127","Bradford WEDNESDAY 2  (Book)","","","","","","","",""
"128","Goldstar Cash & Carry Ltd","Mr Naresh Pau","020 8427 6848","020 8427 3744","Unit 2a","Neptune Road","Harrow","Middlesex","HA1 4HY"
"129","Golden Foods Aps","Robby Kalra","0045 332 22225","0045 332 15200","Frugmarkedet 19","2500 Valby","Copenhagen","Denmark",""
"130","Lotus Imports","Kalra / Robby","0045 33 222 225","0045 33 215 200","Frugtmarkedet 19","5005 Valby","Copenhagen","Denmark",""
"131","Leeds & Wakefield (Book)","","","","","","","",""
"132","Manchester - 1 (Book)","","","","","","","",""
"133","Worldwide Foods (Manchester) Ltd","","","0161 225 4293 Longsight","24 Slade Lane  401 Great Western St","Longsight          off Wilmslow Road","Manchster         Manchester","(Longsight)        (Wilmslow)","M13 0QE           M14 4AH"
"134","£ or 2","Mustafa Aziz","0203 441 1712","0203 441 1713","304-306 Northolt Road","South Harrow","Middlesex","HA2 8EF",""
"135","Asian Powers S.L.","Rafi Chaudhry / Tuqeed Ali","0034 932 788 288","0034 932 781 999","(Mundi Cash & Carry)","C/Santander 60","L2 La Verneda","08020 Barcelona","Spain"
"136","Middleborough (Book)","","","","","","","",""
"137","Wm Morrison Supermarkets PLC","","0845 611 5000","0845 611 6744 or 45","Hilmore House","Gain Lane","Bradford","West Yorkshire","BD3 7DL"
"138","Natco Cash & Carry","Mrs Assi","0208 848 2945 a/c's","020 8573 9347","Silvedale Road","off Pump Lane","Hayes","Middlesex","UB3  3BL"
