VENDOR NO,SUPPLIER,SUPPLIER ADDRESS,CONTACT NAME   ,CONTACT E-MAIL ,PHONE / MOBILE,FAX NUMBER 
,,,,,,
AKGAS,AK GAS APPLIANCE AND SPARES ,"3 WEAVER STREET, LEEDS, LS4 2AU",DAVE,,0113 8591119,N/A 
ANDREWSMARBLES,ANDREWS MARBLES AND TILES ,"324-330 MEANWOOD ROAD, LEEDS,  LS72JE",NO CONTACT,,0113 2624751,N/A 
APLANT,A PLANT,"PO BOX 119, WARRINGTON,   WA3 6YT",NO CONTACT,,01925 281 118,01925 281 001
BILLDYSO,BILL DYSON ,"UNIT 121, WHITEHALL IND EST, WHITEHALL ROAD, LEEDS,   LS12 5JB",LISA,,0113 2038313,0113 2038314
BRAMLEYGLASS,BRAMLEY GLASS LTD,"227 KIRKSTALL ROAD, LEEDS, LS42AS",NO CONTACT,,,
TREY0001,CHILTERN MILLS,"CROSS GARES ROAD , LEEDS,  ",Billy ,Merlin.Treymaine@Chilternmills.co.uk,07760 773694,N/A 
CAS,CASCADE WATER SYSTEMS,"CASCADE HOUSE, 35A KING STREET, HOYLAND, BARNSLEY, S74 9JU",NO CONTACT,,,
CEF,CITY ELECTRICAL FACTORS,"UNIT 2, WORTLEY LANE, LS12 1DA   ",Craig,Craig.Bogg@cef.co.uk,01132 704 411  ,01132 778 492  
CITY PLUMBING,CITY PLUMBING SUPPLIES,"UNIT 2, LOWER MILLS ROAD, LOWER WORTLEY, LEEDS, LS12 4UY",NO CONTACT,,0113 2799199,N/A 
COMCEN,COMCEN COMP SUPPLIES,"BRUCE ROAD, SWANSAE IND EST, SWANSEA,  SA5 4HS",Vikki,vikkyw@comcen.co.uk,0113 220 4013,N/A
DAD,DOMESTIC APPLIANCE DISTRIBUTORS ,"HENRY JOHN HOUSE , NORTH WAY LANE , ASHCHURCH TEWKSBURY, GLOUCESTER, GL20 8JH ",Phil Smith ,phil.smith@dad-online.co.uk,07771 851841  OR  01452 509 380, 01452 504545
DARLI,DAR LIGHTING ,"WILDEMERE IND EST, BANBURY, OXEN, OX16 3JZ",no contact ,sales@darlighting.co.uk,01295 672222,01295 279805
DOUGJAM,DOUGLAS JAMES,"WESTMORELAND HOUSE, WESTMORELAND STREET, HULL, HU2 0DJ",no contact ,,01482 590730,N/A 
DULUX,DULUX PAINT,"MANCHESTER ROAD ALDRINCHAM, CHESHIRE, WA145PG",Andrew ,,0113 2431877,0113 2460785
DUMAPLAST,DUMAPLAST,"VLIEGPLEIN 41, B - 9990 MALDEGEM, BELGIUM",Larry Kerr ,larry.kerr@dumaplast.org.uk,07786 707202 ,N/A 
ENVIROVENT,ENVIROVENT,"HARROGATE BUSINESS CENTRE, HOOKSTONE AVE, HARROGATE, HG2 8ER",RICHARD KAY ,rkay@envirovent.com,01423 876345,N/A
FALCON,FALCON ELECTRICAL ,"FALCON HOUSE, SHEEPSCAR STREET SOUTH, LEEDS, LS7 1AZ",no contact ,,0113 2441003,0113 2425208
GEO.SPEN,GEO SPENCE & SONS LTD,"105 WELLINGTON ROAD, LEEDS,  LS12 1DX",NO CONTACT ,,0113 2790507,0113 2636817
GREENTEC,GREEN TECH LIMITED ,"WEETHILLS PARK, NUN MONKTON, YORK,  YO26 8ET",NO CONTACT,,01423 332100,01423 332101
GREENHAM,GREENHAM ,"CENTRAL ACCOUNTS, 671 LONDON ROAD, ISLEWORTH, MIDDLESEX,  TW7 4EX",DAVE PACE,david.pace@greenham.co.uk,0113 2703481,0113 2702355
GURUCREATIVE,GURU CREATIVE LTD,"STUDIO 9, SANDSTONE ROAD, BUCKINGHAMSHIRE, MK182FF",NO CONTACR,,0780 305 6677,N/A
HALLIS,HALLIS HUDSON GROUP LTD,"UNIT B1  RED SCAR BUSINESS PARK, PRESTON, LANCASHIRE, PR2 5NJ ",NO CONTACT,,01772 909 500 ,01772 202202 
HARRISON,HARRISON BROTHERS ,"HARRISION BROTHERS - BELGRAVE IND EST, HONEYWELL LANE, OLDHAM, OL82JP",David Norman ,D.Norman@harrisonbrothers.co.uk,07870 265860 or 0161 6332499,0161 6287639
HOWARTH,HOWARTH TIMBER MERCHANTS,"HOWARTH - LEEDS BRANCH, P.O BOX 65, BARROW-UPON-HUMBER, NORTH LINCOLNSHIRE, DN19 7XG",Gary Smart ,GSMART@HOWARTH-TIMBER.CO.UK,0113 2000100,0113 2425112
HOWDEN,HOWDEN JOINERY. CO ,"CASWELL HOUSE,  GOWERTON ROAD, BRACKMILLS, NORTHAMPTON, NN4 7BW  ",no contact ,,0113 2460812,N/A
INSTOREDIRECT,INSTORE DIRECT LTD,"UNIT2, EAGLE IND EST, TORRE ROAD, LEEDS,LS9 7QL ",NO CONTACT,,0333 222 5959,N/A
